Group.1,Group.2,retail_and_recreation,grocery_and_pharmacy,residential,transit_stations,parks,workplaces,year,date
2,2020,-24.25538462,-6.475846154,13.97030769,-31.41738462,-14.18084615,-17.72323077,2020,01/02/2020
3,2020,-23.04148387,-5.377967742,12.94470968,-27.99996774,-13.16122581,-13.02758065,2020,01/03/2020
4,2020,-27.1857,-3.966733333,16.10006667,-35.39053333,-18.96193333,-23.08096667,2020,01/04/2020
5,2020,-18.80190323,-0.691322581,11.43780645,-25.75574194,-14.81564516,-12.66809677,2020,01/05/2020
6,2020,-13.99053333,0.861966667,8.3858,-19.2238,-18.9095,-6.728666667,2020,01/06/2020
7,2020,-23.11058065,9.967741935,12.51606452,-26.42390323,-21.33648387,-17.37322581,2020,01/07/2020
8,2020,-34.81564516,7.944645161,17.12441935,-34.05996774,-33.68664516,-27.71425806,2020,01/08/2020
9,2020,-21.8476,13.14756667,10.40003333,-22.14293333,-28.6952,-13.8856,2020,01/09/2020
10,2020,-15.92629032,22.59441935,8.225870968,-15.31332258,-15.27648387,-13.29490323,2020,01/10/2020
11,2020,-14.38576667,26.56666667,6.581033333,-13.60483333,-14.94766667,-4.5572,2020,01/11/2020
12,2020,-25.95387097,23.69580645,12.90322581,-24.73745161,-20.92174194,-20.09222581,2020,01/12/2020
1,2021,-28.35012903,22.78335484,12.21658065,-25.88032258,-23.36406452,-20.27183871,2021,01/01/2021
2,2021,-24.71939286,26.86732143,10.93375,-21.99489286,-21.13775,-24.12242857,2021,01/02/2021
3,2021,-17.75577419,25.90329032,7.62216129,-14.40096774,-19.98151613,-9.354870968,2021,01/03/2021
4,2021,-14.19046667,30.68096667,7.619,-11.13816667,-13.0571,-12.23336667,2021,01/04/2021
5,2021,-10.88022581,38.64974194,6.529903226,-6.91716129,-15.56219355,-6.009225806,2021,01/05/2021
6,2021,-9.1905,40.5095,6.4144,-6.7619,-20.48573333,-3.566766667,2021,01/06/2021
7,2021,-7.101387097,38.25348387,6.350225806,-6.248903226,-19.85719355,-5.373193548,2021,01/07/2021
8,2021,-3.709741935,40.04606452,5.663548387,-3.686774194,-20.55758065,-3.175,2021,01/08/2021
9,2021,-2.223766667,41.7667,4.938166667,-1.561933333,-17.038,-1.219,2021,01/09/2021
10,2021,-4.53916129,42.03222581,7.133677419,-5.944677419,-19.15674194,-5.368645161,2021,01/10/2021
11,2021,-0.0286,43.59046667,3.799833333,0.818966667,-7.185666667,4.6047,2021,01/11/2021
12,2021,1.580677419,50.02303226,4.253548387,1.612903226,-5.340967742,1.806516129,2021,01/12/2021
1,2022,-9.576129032,49.61280645,8.672870968,-7.22583871,-13.50225806,-2.64983871,2022,01/01/2022
2,2022,-27.76014286,35.94896429,18.11732143,-28.45914286,-28.48985714,-30.25507143,2022,01/02/2022
3,2022,-40.99077419,9.105935484,20.58525806,-36.77429032,-46.00003226,-33.99083871,2022,01/03/2022
4,2022,-27.37626667,14.31436667,13.58093333,-21.58093333,-36.519,-21.6761,2022,01/04/2022
5,2022,-16.39629032,13.71883871,7.857225806,-11.56680645,-38.32258065,-9.115193548,2022,01/05/2022
6,2022,-14.8048,10.08576667,6.823966667,-9.3381,-38.8191,-0.1667,2022,01/06/2022
7,2022,-15.48380645,9.755741935,7.949322581,-11.72354839,-40.05993548,-1.912419355,2022,01/07/2022
8,2022,-13.22577419,11.39629032,8.53916129,-10.06909677,-38.825,-2.036903226,2022,01/08/2022
9,2022,-12.11913333,10.95723333,6.728466667,-7.295233333,-29.9143,-0.952433333,2022,01/09/2022
10,2022,-10.79033333,11.99993333,6.276333333,-6.581,-27.84773333,-2.914333333,2022,01/10/2022
